"BehaviorSpace results (NetLogo 3D 6.1.1)"
"TumourAngioSim.nlogo3d"
"final-state"
"11/01/2020 11:27:09:951 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","quiescent-duration","angiogenesis-signal-radius","initial-cells","max-low-energy-duration","malignant-proliferation-chance","angiogenesis-min-demand","energy-req-prolif","normal-proliferation-chance","disease-ratio","[step]","count-malignant-cells","count-somatic-cells","count-malignant-spawn-cells","count-somatic-spawn-cells","count-quiescent-cells-at-final-tick","count-quiescent-cells-occurences","count-vascular-patches"
"163","15","3","500","10","2.35","3","1","2.1","2","301","733","12828","1650","44052","40","192","3187"
"165","15","3","500","10","2.35","3","1","2.1","2","301","591","12534","1413","47542","38","219","2751"
"168","15","3","500","10","2.35","3","1","2.1","2","301","915","12605","1737","41755","53","194","2959"
"167","15","3","500","10","2.35","3","1","2.1","2","301","1359","12582","2778","45868","82","381","4527"
"170","15","3","500","10","2.35","3","1","2.1","2","301","325","12935","725","47505","15","100","2056"
"171","15","3","500","10","2.35","3","1","2.1","2","301","688","12633","1426","43046","38","209","2715"
"181","15","3","500","10","2.35","3","3","1.9","2","301","48","185","146","1424","1","21","783"
"172","15","3","500","10","2.35","3","1","2.1","2","301","174","10978","402","49314","10","64","1382"
"174","15","3","500","10","2.35","3","1","2.1","2","301","29","12089","232","44385","3","69","783"
"182","15","3","500","10","2.35","3","3","1.9","2","301","670","148","1148","1297","27","121","2514"
"184","15","3","500","10","2.35","3","3","1.9","2","301","132","206","225","1669","4","27","1241"
"183","15","3","500","10","2.35","3","3","1.9","2","301","1517","144","2578","1462","54","253","3238"
"185","15","3","500","10","2.35","3","3","1.9","2","301","379","252","628","1791","17","58","1616"
"175","15","3","500","10","2.35","3","1","2.1","2","301","10","12233","69","44112","2","22","783"
"188","15","3","500","10","2.35","3","3","1.9","2","301","31","329","73","2113","2","13","783"
"187","15","3","500","10","2.35","3","3","1.9","2","301","938","134","1621","1592","41","170","2725"
"186","15","3","500","10","2.35","3","3","1.9","2","301","1387","273","2348","1901","51","269","2981"
"189","15","3","500","10","2.35","3","3","1.9","2","301","775","172","1359","1488","28","136","2321"
"176","15","3","500","10","2.35","3","1","2.1","2","301","247","12526","440","46005","8","37","1595"
"191","15","3","500","10","2.35","3","3","1.9","2","301","0","311","6","2132","0","4","783"
"192","15","3","500","10","2.35","3","3","1.9","2","301","283","203","475","1520","10","47","1567"
"190","15","3","500","10","2.35","3","3","1.9","2","301","1329","276","2225","1867","60","241","3203"
"193","15","3","500","10","2.35","3","3","1.9","2","301","117","206","253","1613","3","40","1165"
"173","15","3","500","10","2.35","3","1","2.1","2","301","741","12482","1548","49857","44","213","3066"
"195","15","3","500","10","2.35","3","3","1.9","2","301","0","156","7","1495","0","0","783"
"196","15","3","500","10","2.35","3","3","1.9","2","301","504","163","847","1625","15","82","1799"
"194","15","3","500","10","2.35","3","3","1.9","2","301","348","397","616","2341","6","57","1677"
"177","15","3","500","10","2.35","3","1","2.1","2","301","274","11381","572","48177","12","61","1644"
"197","15","3","500","10","2.35","3","3","1.9","2","301","727","121","1250","1318","28","143","2441"
"198","15","3","500","10","2.35","3","3","1.9","2","301","524","210","957","1840","17","119","1276"
"199","15","3","500","10","2.35","3","3","1.9","2","301","0","170","6","1694","0","4","783"
"200","15","3","500","10","2.35","3","3","1.9","2","301","2","254","31","1847","0","13","783"
"201","15","3","500","10","2.35","3","3","1.9","2","301","152","179","288","1653","4","29","1285"
"202","15","3","500","10","2.35","3","3","1.9","2","301","643","193","1016","1627","17","85","2123"
"178","15","3","500","10","2.35","3","1","2.1","2","301","436","12411","1037","44146","19","129","2322"
"204","15","3","500","10","2.35","3","3","1.9","2","301","934","253","1751","1907","31","187","783"
"205","15","3","500","10","2.35","3","3","1.9","2","301","915","205","1626","1591","45","188","2340"
"203","15","3","500","10","2.35","3","3","1.9","2","301","1377","225","2352","1952","58","272","3265"
"207","15","3","500","10","2.35","3","3","1.9","2","301","477","147","764","1431","15","72","1981"
"208","15","3","500","10","2.35","3","3","1.9","2","301","0","193","6","1523","0","0","783"
"206","15","3","500","10","2.35","3","3","1.9","2","301","1258","311","2091","2079","47","223","3163"
"209","15","3","500","10","2.35","3","3","1.9","2","301","0","218","4","1654","0","4","783"
"210","15","3","500","10","2.35","3","3","1.9","2","301","95","207","197","1490","3","27","1121"
"180","15","3","500","10","2.35","3","1","2.1","2","301","649","12910","1458","47107","29","186","2556"
"218","15","3","500","10","2.35","3","3","2.1","2","301","38","6251","128","15343","2","15","783"
"211","15","3","500","10","2.35","3","3","2.1","2","301","140","6910","290","19668","5","40","1253"
"214","15","3","500","10","2.35","3","3","2.1","2","301","0","6701","3","20388","0","1","783"
"215","15","3","500","10","2.35","3","3","2.1","2","301","302","6756","553","19020","12","69","1737"
"216","15","3","500","10","2.35","3","3","2.1","2","301","179","7371","378","20975","5","46","1412"
"217","15","3","500","10","2.35","3","3","2.1","2","301","150","6953","299","20785","6","38","1326"
