"BehaviorSpace results (NetLogo 3D 6.1.1)"
"TumourAngioSim.nlogo3d"
"final-state"
"11/01/2020 14:38:42:562 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","quiescent-duration","angiogenesis-signal-radius","initial-cells","max-low-energy-duration","malignant-proliferation-chance","angiogenesis-min-demand","energy-req-prolif","normal-proliferation-chance","disease-ratio","[step]","count-malignant-cells","count-somatic-cells","count-malignant-spawn-cells","count-somatic-spawn-cells","count-quiescent-cells-at-final-tick","count-quiescent-cells-occurences","count-vascular-patches"
"132","15","2","250","10","2.25","5","2","2","2","301","218","208","366","1207","6","41","939"
"136","15","2","250","10","2.25","5","2","2","2","301","47","86","96","815","1","8","828"
"134","15","2","250","10","2.25","5","2","2","2","301","225","174","433","1137","9","47","1003"
"135","15","2","250","10","2.25","5","2","2","2","301","272","134","467","1058","9","46","1027"
"137","15","2","250","10","2.25","5","2","2","2","301","167","170","287","1099","5","35","886"
"138","15","2","250","10","2.25","5","2","2","2","301","0","234","0","1121","0","1","783"
"140","15","2","250","10","2.25","5","2","2","2","301","0","184","16","1221","0","10","783"
"139","15","2","250","10","2.25","5","2","2","2","301","686","168","1314","1193","28","142","956"
"143","15","2","250","10","2.25","5","2","2","2","301","0","146","0","955","0","0","783"
"141","15","2","250","10","2.25","5","2","2","2","301","285","113","472","996","7","41","1006"
"142","15","2","250","10","2.25","5","2","2","2","301","324","163","670","1210","18","76","998"
"144","15","2","250","10","2.25","5","2","2","2","301","248","69","531","724","13","66","789"
"145","15","2","250","10","2.25","5","2","2","2","301","383","176","651","1131","15","62","1107"
"147","15","2","250","10","2.25","5","2","2","2","301","0","119","8","973","0","0","783"
"148","15","2","250","10","2.25","5","2","2","2","301","43","110","80","897","1","10","820"
"149","15","2","250","10","2.25","5","2","2","2","301","0","60","4","824","0","0","783"
"146","15","2","250","10","2.25","5","2","2","2","301","860","82","1556","899","29","175","1365"
"150","15","2","250","10","2.25","5","2","2","2","301","291","222","456","1287","13","45","994"
"151","15","2","500","10","2.25","1","2","2","2","301","0","311","13","2040","0","4","783"
"152","15","2","500","10","2.25","1","2","2","2","301","263","266","478","2106","11","78","1371"
"154","15","2","500","10","2.25","1","2","2","2","301","402","473","628","2595","5","64","1417"
"153","15","2","500","10","2.25","1","2","2","2","301","659","320","1150","2053","33","138","1871"
"155","15","2","500","10","2.25","1","2","2","2","301","1050","126","1806","1258","35","184","2003"
"157","15","2","500","10","2.25","1","2","2","2","301","213","435","329","2419","11","35","1160"
"158","15","2","500","10","2.25","1","2","2","2","301","503","347","963","2339","24","122","1616"
"160","15","2","500","10","2.25","1","2","2","2","301","194","457","357","2559","5","54","783"
"159","15","2","500","10","2.25","1","2","2","2","301","705","348","1131","2266","25","125","1814"
"163","15","2","500","10","2.25","1","2","2","2","301","0","446","20","2817","0","7","783"
"162","15","2","500","10","2.25","1","2","2","2","301","861","197","1377","1751","35","142","1771"
"156","15","2","500","10","2.25","1","2","2","2","301","1685","324","2808","2376","68","272","3196"
"164","15","2","500","10","2.25","1","2","2","2","301","344","368","559","2515","8","49","815"
"167","15","2","500","10","2.25","1","2","2","2","301","356","252","615","2189","9","78","1516"
